x,Curve1
-39.47,0.0326
-36.84,0.0266
-31.05,-0.0028
-27.37,-0.0204
-23.16,-0.0093
-20.52,0.0077
-17.9,-0.0098
-15.26,0.0188
-11.05,0.0011
-9.47,0.0124
-8.42,0.0297
-5.79,0.0236
-4.21,0.0119
-0.53,5e-05
3.02,2.2151
5.63,2.1168
7.21,2.1051
8.78,2.0645
10.88,1.9951
11.92,1.9431
14.01,1.8333
14.55,1.9313
15.59,1.8677
17.16,1.8041
18.2,1.7348
19.25,1.7116
22.41,1.7113
23.45,1.6766
24.5,1.6303
27.13,1.6243
28.17,1.5781
29.74,1.526
30.26,1.4625
32.35,1.4046
33.94,1.4506
34.45,1.3871
38.13,1.3406
38.13,1.3694
39.71,1.3346
40.76,1.323
41.27,1.2537
43.38,1.2766
45.49,1.2879
47.06,1.2359
50.21,1.1836
51.79,1.2296
53.38,1.2641
55.46,1.1139
56.53,1.2061
58.61,1.1021
60.18,1.05
60.69,0.9403
61.21,0.8768
62.25,0.8075
64.34,0.7438
64.86,0.6803
66.43,0.6455
69.07,0.6799
70.1,0.5933
70.62,0.5471
71.66,0.4546
74.8,0.3793
79.01,0.3732
81.63,0.3152
84.78,0.2399
87.93,0.2108
91.09,0.1932
93.71,0.1583
95.81,0.1177
100.55,0.1461
103.7,0.0996
105.28,0.111
107.91,0.0762
113.18,0.0987
118.43,0.0463
122.64,0.0344
126.32,0.034
130,0.0106
133.68,-0.0013
138.42,0.004
142.11,0.0094
143.17,0.067
143.69,0.015
146.84,-0.0314
152.1,-0.0435
154.2,-0.0552
158.41,-0.0902
163.15,-0.0618
164.73,-0.0562
171.57,-0.0511
176.3,-0.0631
