x,Curve1
-38.431,-0.00408
-36.156,-0.03959
-34.38,-0.00418
-33.619,0.01353
-31.848,0.00019
-29.318,-0.0176
-27.797,0.00896
-27.041,-0.03095
-25.013,-0.00441
-24.511,-0.04431
-23.243,-0.02218
-21.727,-0.05768
-19.695,0.00876
-18.434,-0.0356
-15.9,-0.00906
-13.371,-0.04016
-12.609,-0.01358
-11.349,-0.07567
-10.837,-0.01362
-8.562,-0.04914
-7.796,0.0129
-6.283,-0.04033
-2.732,0.01721
0.558,0.01269
1.186,1.21392
3.958,1.08974
6.227,0.98773
7.74,0.93007
8.494,0.88129
10.263,0.84579
11.017,0.79701
11.773,0.7571
12.781,0.71718
14.045,0.69499
15.306,0.65063
15.556,0.61959
17.326,0.59739
18.083,0.57077
18.84,0.54416
20.103,0.51753
22.124,0.47759
23.388,0.45539
24.148,0.46424
24.65,0.4199
26.93,0.43314
27.689,0.42426
28.701,0.4198
29.71,0.38432
30.976,0.38428
33.505,0.36206
35.274,0.33099
36.032,0.31324
37.296,0.29548
39.574,0.29542
39.824,0.26439
41.091,0.27765
43.116,0.26874
43.367,0.24657
43.872,0.23326
45.139,0.24652
46.909,0.22432
48.68,0.21541
49.944,0.19321
50.959,0.21535
52.983,0.20644
54.756,0.21526
55.01,0.21969
56.274,0.20192
58.044,0.17972
60.32,0.1575
63.863,0.14411
64.622,0.14409
66.139,0.12189
67.91,0.10855
69.934,0.0952
71.196,0.06415
72.718,0.0907
73.73,0.08625
74.74,0.05963
76.258,0.04629
77.776,0.03739
78.787,0.01963
80.56,0.03289
81.318,0.01514
83.088,-0.00264
85.114,-0.00269
86.125,-0.01601
86.634,0.01057
87.646,0.00612
90.176,-0.00724
91.441,-0.02057
92.454,-0.01617
94.225,-0.02951
95.999,-0.00739
97.771,-0.01186
99.542,-0.02521
101.064,0.01022
102.072,-0.03413
103.846,-0.01645
104.608,0.00127
105.617,-0.03422
107.643,-0.02097
109.668,-0.02989
111.695,-0.01664
113.718,-0.02999
114.73,-0.03888
116.251,-0.02562
119.289,-0.01683
